Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
Superstar;Max1;m;;50S;00:24.60
;;;;50R;00:24.60
;;;;50B;00:24.60
;;;;50K;00:24.60
;;;;100S;00:53.30
;;;;100R;00:53.30
;;;;100B;00:53.30
;;;;100K;00:53.30
;;;;100Lg;00:53.30
;;;;200S;01:54.80
;;;;200R;01:54.80
;;;;200B;01:54.80
;;;;200K;01:54.80
;;;;200Lg;01:54.80
;;;;400K;04:06.00
;;;;400Lg;04:06.00
;;;;800K;08:53.00
;;;;1500K;17:46.00
Elite2;Max2;m;;50S;00:25.73
;;;;50R;00:26.16
;;;;50B;00:26.51
;;;;50K;00:26.67
;;;;100S;00:56.11
;;;;100R;00:57.35
;;;;100B;00:56.36
;;;;100K;00:58.24
;;;;100Lg;00:57.01
;;;;200S;02:03.11
;;;;200R;02:05.66
;;;;200B;02:03.75
;;;;200K;02:05.49
;;;;200Lg;02:05.26
;;;;400K;04:22.06
;;;;400Lg;04:25.08
;;;;800K;09:32.45
;;;;1500K;19:12.28
Elite3;Max3;m;;50S;00:27.00
;;;;50R;00:26.88
;;;;50B;00:26.13
;;;;50K;00:26.51
;;;;100S;00:58.33
;;;;100R;00:57.73
;;;;100B;00:57.17
;;;;100K;00:56.11
;;;;100Lg;00:55.53
;;;;200S;02:05.68
;;;;200R;02:03.06
;;;;200B;01:59.37
;;;;200K;02:04.17
;;;;200Lg;02:02.85
;;;;400K;04:23.00
;;;;400Lg;04:16.74
;;;;800K;09:20.94
;;;;1500K;18:42.79
Elite4;Max4;m;;50S;00:26.00
;;;;50R;00:26.05
;;;;50B;00:26.37
;;;;50K;00:26.25
;;;;100S;00:57.23
;;;;100R;00:56.66
;;;;100B;00:56.96
;;;;100K;00:56.57
;;;;100Lg;00:56.71
;;;;200S;02:01.06
;;;;200R;02:03.43
;;;;200B;02:02.62
;;;;200K;01:59.51
;;;;200Lg;02:00.76
;;;;400K;04:20.92
;;;;400Lg;04:21.48
;;;;800K;09:31.95
;;;;1500K;18:50.52
Elite5;Max5;m;;50S;00:26.68
;;;;50R;00:25.92
;;;;50B;00:26.62
;;;;50K;00:25.58
;;;;100S;00:57.42
;;;;100R;00:57.22
;;;;100B;00:55.87
;;;;100K;00:58.15
;;;;100Lg;00:57.56
;;;;200S;02:01.88
;;;;200R;02:01.78
;;;;200B;02:03.64
;;;;200K;01:59.75
;;;;200Lg;02:05.48
;;;;400K;04:25.39
;;;;400Lg;04:25.90
;;;;800K;09:29.27
;;;;1500K;18:37.94
Elite6;Max6;m;;50S;00:25.60
;;;;50R;00:26.39
;;;;50B;00:26.06
;;;;50K;00:27.00
;;;;100S;00:56.05
;;;;100R;00:57.86
;;;;100B;00:56.35
;;;;100K;00:57.97
;;;;100Lg;00:57.23
;;;;200S;02:03.96
;;;;200R;02:05.72
;;;;200B;02:01.90
;;;;200K;02:03.85
;;;;200Lg;02:02.26
;;;;400K;04:18.89
;;;;400Lg;04:28.23
;;;;800K;09:14.33
;;;;1500K;18:46.04
Elite7;Max7;m;;50S;00:26.89
;;;;50R;00:25.56
;;;;50B;00:26.78
;;;;50K;00:26.88
;;;;100S;00:56.47
;;;;100R;00:57.55
;;;;100B;00:58.20
;;;;100K;00:58.18
;;;;100Lg;00:58.46
;;;;200S;02:03.38
;;;;200R;02:00.60
;;;;200B;02:04.03
;;;;200K;02:01.62
;;;;200Lg;02:00.48
;;;;400K;04:17.05
;;;;400Lg;04:15.96
;;;;800K;09:21.90
;;;;1500K;18:25.97
