Schwimmart;Name;Zeit;Punkte;Name;Zeit;Punkte
100Lg;Elite4 Max4;56.71;656;Elite3 Max3;55.53;698
200K;Elite7 Max7;121.62;533;Elite4 Max4;119.50999999999999;561
100B;Superstar Max1;53.3;1115;Elite5 Max5;55.87;968
200R;Elite5 Max5;121.78;652;Elite7 Max7;120.6;671
100S;Elite6 Max6;56.05;616;Elite2 Max2;56.11;614
50B;Elite3 Max3;26.13;870;Superstar Max1;24.6;1043
200Lg;Superstar Max1;114.8;853;Elite6 Max6;122.26;706
1500K;Elite6 Max6;1126.04;425;;;
800K;;;;Elite7 Max7;561.9;481
50S;Elite2 Max2;25.73;568;Elite6 Max6;25.6;577
200B;Elite3 Max3;119.37;1019;Superstar Max1;114.8;1146
100R;Superstar Max1;53.3;745;Elite4 Max4;56.66;620
200S;Elite4 Max4;121.06;687;Elite5 Max5;121.88;673
50K;Elite5 Max5;25.58;470;Elite2 Max2;26.67;415
400Lg;Elite7 Max7;255.96;772;Elite3 Max3;256.74;765
50R;Elite5 Max5;25.92;620;Elite7 Max7;25.56;647
400K;Elite2 Max2;262.06;531;Elite6 Max6;258.89;551
100K;Elite3 Max3;56.11;510;Elite4 Max4;56.57;498
;;Punkte Abs1;11642;;Punkte Abs2;11634
Punkte Gesamt;;;;;;23276
