Schwimmart;Name;Zeit;Punkte;Name;Zeit;Punkte
100Lg;Elite2 Max2;57.01;645;Elite3 Max3;55.53;698
200K;Elite4 Max4;119.50999999999999;561;Elite5 Max5;119.75;558
100B;Superstar Max1;53.3;1115;Elite6 Max6;56.35;944
200R;Elite5 Max5;121.78;652;Elite7 Max7;120.6;671
100S;Elite6 Max6;56.05;616;Elite2 Max2;56.11;614
50B;Elite3 Max3;26.13;870;Superstar Max1;24.6;1043
200Lg;Elite7 Max7;120.48;738;Elite4 Max4;120.76;732
1500K;Elite3 Max3;1122.79;429;;;
800K;;;;Elite6 Max6;554.33;501
50S;Elite6 Max6;25.6;577;Elite2 Max2;25.73;568
200B;Superstar Max1;114.8;1146;Elite3 Max3;119.37;1019
100R;Elite2 Max2;57.35;598;Superstar Max1;53.3;745
200S;Elite4 Max4;121.06;687;Elite5 Max5;121.88;673
50K;Elite5 Max5;25.58;470;Elite4 Max4;26.25;435
400Lg;Superstar Max1;246.0;869;Elite7 Max7;255.96;772
50R;Elite5 Max5;25.92;620;Elite2 Max2;26.16;603
400K;Elite7 Max7;257.05;562;Elite6 Max6;258.89;551
100K;Elite4 Max4;56.57;498;Elite3 Max3;56.11;510
;;Punkte Abs1;11653;;Punkte Abs2;11637
Punkte Gesamt;;;;;;23290
