Schwimmart;Name;Zeit;Punkte;Name;Zeit;Punkte
100Lg;Superstar Max1;53.3;790;Elite3 Max3;55.53;698
200K;Elite4 Max4;119.50999999999999;561;Elite5 Max5;119.75;558
100B;Elite5 Max5;55.87;968;Superstar Max1;53.3;1115
200R;Elite3 Max3;123.06;632;Elite7 Max7;120.6;671
100S;Elite2 Max2;56.11;614;Elite6 Max6;56.05;616
50B;Elite6 Max6;26.06;877;Superstar Max1;24.6;1043
200Lg;Elite7 Max7;120.48;738;Elite4 Max4;120.76;732
1500K;Elite2 Max2;1152.28;397;;;
800K;;;;Elite6 Max6;554.33;501
50S;Elite6 Max6;25.6;577;Elite2 Max2;25.73;568
200B;Elite3 Max3;119.37;1019;Superstar Max1;114.8;1146
100R;Superstar Max1;53.3;745;Elite4 Max4;56.66;620
200S;Elite4 Max4;121.06;687;Elite5 Max5;121.88;673
50K;Elite5 Max5;25.58;470;Elite2 Max2;26.67;415
400Lg;Elite7 Max7;255.96;772;Elite3 Max3;256.74;765
50R;Elite5 Max5;25.92;620;Elite7 Max7;25.56;647
400K;Elite2 Max2;262.06;531;Elite6 Max6;258.89;551
100K;Elite3 Max3;56.11;510;Elite4 Max4;56.57;498
;;Punkte Abs1;11508;;Punkte Abs2;11817
Punkte Gesamt;;;;;;23325
