Schwimmart;Name;Zeit;Punkte;Name;Zeit;Punkte
100Lg;Deland Torsten;65.5;425;Jegeniak Tobi;66.9;399
200K;Schnerr Piotr;122.9;516;Schnerr Patryck;121.0;541
100B;Alefelder Moritz;71.2;468;Limbacher Samuel;72.5;443
200R;Zebarjadi Radin;145.9;379;Sopart Ben;139.9;430
100S;Brockhaus Johannes;67.5;353;Strehl Finn;59.9;505
50B;Limbacher Samuel;32.0;473;Alefelder Moritz;32.5;452
200Lg;Deland Torsten;140.0;470;Schnerr Patryck;143.0;441
1500K;Schnerr Patryck;1110.0;444;;;
800K;;;;Sopart Ben;567.0;468
50S;Strehl Finn;25.5;584;Jegeniak Tobi;27.0;492
200B;Limbacher Samuel;155.0;465;Alefelder Moritz;158.0;439
100R;Sopart Ben;64.5;420;Schnerr Piotr;66.8;378
200S;Strehl Finn;143.0;417;Brockhaus Johannes;143.0;417
50K;Schnerr Piotr;24.9;510;Deland Torsten;25.4;480
400Lg;Deland Torsten;309.0;438;Schnerr Patryck;305.0;456
50R;Jegeniak Tobi;29.9;404;Alefelder Moritz;31.0;362
400K;Schnerr Patryck;263.0;525;Sopart Ben;269.5;488
100K;Schnerr Piotr;54.9;544;Deland Torsten;55.8;518
;;Punkte Abs1;7835;;Punkte Abs2;7709
Punkte Gesamt;;;;;;15544
