Schwimmart;Name;Zeit;Punkte;Name;Zeit;Punkte
100Lg;Elite3 Max3;55.53;698;Elite2 Max2;57.01;645
200K;Elite5 Max5;119.75;558;Elite4 Max4;119.50999999999999;561
100B;Superstar Max1;53.3;1115;Elite5 Max5;55.87;968
200R;Elite7 Max7;120.6;671;Superstar Max1;114.8;778
100S;Elite6 Max6;56.05;616;Elite2 Max2;56.11;614
50B;Superstar Max1;24.6;1043;Elite6 Max6;26.06;877
200Lg;Elite4 Max4;120.76;732;Elite7 Max7;120.48;738
1500K;Elite6 Max6;1126.04;425;;;
800K;;;;Elite7 Max7;561.9;481
50S;Elite2 Max2;25.73;568;Elite6 Max6;25.6;577
200B;Superstar Max1;114.8;1146;Elite3 Max3;119.37;1019
100R;Elite2 Max2;57.35;598;Elite4 Max4;56.66;620
200S;Elite4 Max4;121.06;687;Elite5 Max5;121.88;673
50K;Elite5 Max5;25.58;470;Elite2 Max2;26.67;415
400Lg;Elite3 Max3;256.74;765;Superstar Max1;246.0;869
50R;Elite5 Max5;25.92;620;Elite7 Max7;25.56;647
400K;Elite7 Max7;257.05;562;Elite6 Max6;258.89;551
100K;Elite4 Max4;56.57;498;Elite3 Max3;56.11;510
;;Punkte Abs1;11772;;Punkte Abs2;11543
Punkte Gesamt;;;;;;23315
